Task Name,Start Date,End Date,Assigned To,Status,% Complete,Category,Notes
Notice to Proceed / Baseline Schedule Approved,07/20/2026,07/20/2026,Owner/HCI,Not Started,0.00,Preconstruction,"Baseline start used for production schedule; update when NTP is formal. [milestone:yes, critical:yes]"
Confirm controlling drawing set for construction/bid issue,07/21/2026,07/22/2026,HCI,Not Started,0.00,Preconstruction,Drawing reconciliation item from Master Memory. [critical:yes]
Weekly PM schedule update #1,07/21/2026,07/21/2026,HCI,Not Started,0.00,Weekly Updates,Recurring status update milestone for maintainable weekly schedule. [milestone:yes]
Weekly PM schedule update #2,07/21/2026,07/21/2026,HCI,Not Started,0.00,Weekly Updates,Recurring status update milestone for maintainable weekly schedule. [milestone:yes]
Weekly PM schedule update #3,07/21/2026,07/21/2026,HCI,Not Started,0.00,Weekly Updates,Recurring status update milestone for maintainable weekly schedule. [milestone:yes]
Weekly PM schedule update #4,07/21/2026,07/21/2026,HCI,Not Started,0.00,Weekly Updates,Recurring status update milestone for maintainable weekly schedule. [milestone:yes]
Weekly PM schedule update #5,07/21/2026,07/21/2026,HCI,Not Started,0.00,Weekly Updates,Recurring status update milestone for maintainable weekly schedule. [milestone:yes]
Weekly PM schedule update #6,07/21/2026,07/21/2026,HCI,Not Started,0.00,Weekly Updates,Recurring status update milestone for maintainable weekly schedule. [milestone:yes]
Weekly PM schedule update #7,07/21/2026,07/21/2026,HCI,Not Started,0.00,Weekly Updates,Recurring status update milestone for maintainable weekly schedule. [milestone:yes]
Weekly PM schedule update #8,07/21/2026,07/21/2026,HCI,Not Started,0.00,Weekly Updates,Recurring status update milestone for maintainable weekly schedule. [milestone:yes]
Weekly PM schedule update #9,07/21/2026,07/21/2026,HCI,Not Started,0.00,Weekly Updates,Recurring status update milestone for maintainable weekly schedule. [milestone:yes]
Weekly PM schedule update #10,07/21/2026,07/21/2026,HCI,Not Started,0.00,Weekly Updates,Recurring status update milestone for maintainable weekly schedule. [milestone:yes]
Weekly PM schedule update #11,07/21/2026,07/21/2026,HCI,Not Started,0.00,Weekly Updates,Recurring status update milestone for maintainable weekly schedule. [milestone:yes]
Weekly PM schedule update #12,07/21/2026,07/21/2026,HCI,Not Started,0.00,Weekly Updates,Recurring status update milestone for maintainable weekly schedule. [milestone:yes]
Weekly PM schedule update #13,07/21/2026,07/21/2026,HCI,Not Started,0.00,Weekly Updates,Recurring status update milestone for maintainable weekly schedule. [milestone:yes]
Weekly PM schedule update #14,07/21/2026,07/21/2026,HCI,Not Started,0.00,Weekly Updates,Recurring status update milestone for maintainable weekly schedule. [milestone:yes]
