Task Name,Start Date,End Date,Assigned To,Status,% Complete,Category,Notes
1355 Riverside Production Schedule v02 - START BASIS 2026-07-20,07/20/2026,07/20/2026,PM / Super,Not Started,0.00,"","Dated production workbook generated 2026-06-25. Project start basis from uploaded July20_Start file name. | Production date window applied [milestone:yes, critical:yes]"
Mobilize GC field setup,07/20/2026,07/22/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Notice to Proceed / Mobilization Start,07/21/2026,07/21/2026,PM / Super,Not Started,0.00,"","Production date window applied [milestone:yes, critical:yes]"
Confirm current issued-for-construction drawing/spec/bid basis,07/21/2026,07/22/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Install temporary fencing and site signage,07/21/2026,07/22/2026,PM / Super,Not Started,0.00,"",Production date window applied
Confirm permit status and inspection contacts,07/22/2026,07/23/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Install erosion control / BMPs,07/22/2026,07/23/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Finalize project directory and communication protocol,07/23/2026,07/23/2026,PM / Super,Not Started,0.00,"",Production date window applied
Issue master subcontractor contact list,07/23/2026,07/23/2026,PM / Super,Not Started,0.00,"",Production date window applied
Install tree protection and landscape protection,07/23/2026,07/24/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Set weekly schedule update cadence,07/24/2026,07/24/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Establish survey control and benchmarks,07/24/2026,07/27/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Finalize site logistics plan,07/27/2026,07/28/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Finalize safety plan and site orientation process,07/27/2026,07/28/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Utility locates complete,07/27/2026,07/28/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Finalize structural steel scope,07/27/2026,07/29/2026,PM / Procurement,Not Started,0.00,"",Production date window applied [critical:yes]
Confirm temporary utilities plan,07/28/2026,07/29/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Temporary power/water/sanitation setup,07/28/2026,07/30/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Confirm neighbor/access restrictions,07/29/2026,07/29/2026,PM / Super,Not Started,0.00,"",Production date window applied
Set RFI/submittal control log,07/29/2026,07/29/2026,PM / Super,Not Started,0.00,"",Production date window applied
Existing condition photo documentation,07/29/2026,07/30/2026,PM / Super,Not Started,0.00,"",Production date window applied
Set procurement control log,07/30/2026,07/30/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Existing structure investigation / verification,07/30/2026,08/04/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
PROCUREMENT - Steel shop drawings,07/30/2026,08/12/2026,PM / Procurement,Not Started,0.00,"",Production date window applied [critical:yes]
Set owner decision log,07/31/2026,07/31/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Pre-mobilization subcontractor coordination meeting,07/31/2026,07/31/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Existing foundation verification,07/31/2026,08/04/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Insurance/COI collection complete - initial trades,08/03/2026,08/05/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Existing framing verification,08/03/2026,08/05/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Selective interior demolition - Area A,08/03/2026,08/07/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
Confirm waste/export route and staging,08/04/2026,08/04/2026,PM / Super,Not Started,0.00,"",Production date window applied [critical:yes]
