Task Name,Start Date,End Date,Assigned To,Status,% Complete,Category,Notes
Confirm IFFR permit scope and conditions,05/04/2026,05/04/2026,PM,Complete,100.00,Completed Pre-Demo,Completed before restart. Confirmed only pre-demo planning/inspection complete.
Pre-demo inspection,05/04/2026,05/04/2026,Super,Complete,100.00,Completed Pre-Demo,Completed before restart.
Confirm save/remove list with Owner,05/05/2026,05/05/2026,PM,Complete,100.00,Completed Pre-Demo,Existing item protection planning complete only.
Initial existing condition documentation,05/06/2026,05/06/2026,Super,Complete,100.00,Completed Pre-Demo,Photos/notes before field work.
Pre-demo safety / logistics review,05/07/2026,05/07/2026,Super,Complete,100.00,Completed Pre-Demo,No construction started.
Schedule restart baseline established,05/08/2026,05/08/2026,PM,Complete,100.00,Completed Pre-Demo,"Project field start reset to August 3, 2026. [milestone:yes]"
Confirm final permit / work authorization basis,05/11/2026,05/12/2026,PM,Open,0.00,Preconstruction / Buyout,Confirm full building permit / IFFR boundary before mobilization. [critical:yes]
Issue updated scope narrative for August restart,05/13/2026,05/14/2026,PM,Open,0.00,Preconstruction / Buyout,[critical:yes]
Update trade bid packages for added roofing and windows,05/15/2026,05/19/2026,PM,Open,0.00,Preconstruction / Buyout,Roofing / Windows [critical:yes]
Level demo / hazmat pricing,05/20/2026,05/22/2026,PM,Open,0.00,Preconstruction / Buyout,""
Level rough framing pricing,05/20/2026,05/22/2026,PM,Open,0.00,Preconstruction / Buyout,""
Level roofing pricing,05/20/2026,05/26/2026,PM,Open,0.00,Preconstruction / Buyout,Roofing [critical:yes]
Level window / exterior opening pricing,05/20/2026,05/26/2026,PM,Open,0.00,Preconstruction / Buyout,Windows [critical:yes]
Level MEP pricing and scope gaps,05/20/2026,05/26/2026,PM,Open,0.00,Preconstruction / Buyout,""
Update ROM for windows and roofing additions,05/27/2026,05/29/2026,PM,Open,0.00,Preconstruction / Buyout,[critical:yes]
Owner approval of revised ROM and procurement releases,06/01/2026,06/01/2026,PM,Open,0.00,Preconstruction / Buyout,Financial commitment requires Buck/Owner approval. [critical:yes]
Award demolition contractor,06/02/2026,06/02/2026,PM,Open,0.00,Preconstruction / Buyout,[critical:yes]
